Date,Direction,Coin,Futures,Transaction amount,Average Price,Trading volume,Realized P/L,NetProfits,Fee
2025-12-04 02:13:37,Open short,USDT,ADAUSDT,63,0.4546,28.6398,0,0,-0.01718388
2025-12-03 23:03:16,Close short,USDT,SOLUSDT,0.2,144.07,28.814,0.2446,0.2273116,-0.0172884
2025-12-03 22:58:05,Open short,USDT,SOLUSDT,0.2,145.293,29.0586,0,0,-0.00581172
2025-12-03 20:55:55,Close short,USDT,ADAUSDT,64,0.4451,28.4864,-0.1984,-0.21549184,-0.01709184
2025-12-03 15:38:49,Close long,USDT,SOLUSDT,0.2,141.24,28.248,0.4912,0.4742512,-0.0169488
2025-12-03 15:04:54,Open long,USDT,SOLUSDT,0.2,138.784,27.7568,0,0,-0.00555136
2025-12-03 10:23:20,Open short,USDT,ADAUSDT,64,0.442,28.288,0,0,-0.0056576
2025-12-03 09:38:25,Close short,USDT,ADAUSDT,65,0.4446,28.899,-0.208,-0.2253394,-0.0173394
2025-12-03 09:15:08,Open short,USDT,ADAUSDT,65,0.4414,28.691,0,0,-0.0057382
2025-12-03 08:34:10,Close short,USDT,ADAUSDT,53,0.4456,23.6168,-0.1643,-0.17847008,-0.01417008
2025-12-03 08:34:10,Close short,USDT,ADAUSDT,2,0.4456,0.8912,-0.0062,-0.00673472,-0.00053472
2025-12-03 08:34:10,Close short,USDT,ADAUSDT,10,0.4456,4.456,-0.031,-0.0336736,-0.0026736
2025-12-03 07:44:52,Open short,USDT,ADAUSDT,65,0.4425,28.7625,0,0,-0.0057525
2025-12-03 07:12:07,Close short,USDT,ADAUSDT,66,0.4445,29.337,-0.2046,-0.2222022,-0.0176022
2025-12-03 06:15:44,Open short,USDT,ADAUSDT,66,0.4414,29.1324,0,0,-0.00582648
2025-12-03 06:05:55,Close short,USDT,ADAUSDT,65,0.4428,28.782,-0.2015,-0.2187692,-0.0172692
2025-12-03 05:58:51,Close short,USDT,BTCUSDT,0.0001,93384.5,9.33845,-0.08434,-0.08994307,-0.00560307
2025-12-03 05:18:59,Open short,USDT,ADAUSDT,65,0.4397,28.5805,0,0,-0.0057161
2025-12-03 03:04:22,Open short,USDT,BTCUSDT,0.0001,92541.1,9.25411,0,0,-0.001850822
2025-12-03 01:32:11,Close short,USDT,BTCUSDT,0.0001,90977.2,9.09772,0.08144,0.075981368,-0.005458632
2025-12-02 23:04:31,Open short,USDT,BTCUSDT,0.0001,91791.6,9.17916,0,0,-0.001835832
2025-12-02 20:31:12,Close short,USDT,ADAUSDT,69,0.434,29.946,-0.2139,-0.2318676,-0.0179676
2025-12-02 18:41:19,Open short,USDT,ADAUSDT,69,0.4309,29.7321,0,0,-0.00594642
2025-12-02 18:28:13,Close short,USDT,ADAUSDT,70,0.4327,30.289,-0.224,-0.2421734,-0.0181734
2025-12-02 16:45:27,Open short,USDT,ADAUSDT,70,0.4295,30.065,0,0,-0.018039
2025-12-02 16:43:19,Close short,USDT,ADAUSDT,58,0.4283,24.8414,-0.1972,-0.21210484,-0.01490484
2025-12-02 16:43:19,Close short,USDT,ADAUSDT,8,0.4283,3.4264,-0.0272,-0.02925584,-0.00205584
2025-12-02 16:42:06,Close short,USDT,SOLUSDT,0.2,136.888,27.3776,-0.1692,-0.18562656,-0.01642656
2025-12-02 16:41:26,Open short,USDT,ADAUSDT,66,0.4249,28.0434,0,0,-0.00560868
2025-12-02 16:22:04,Open short,USDT,SOLUSDT,0.2,136.042,27.2084,0,0,-0.00544168
2025-12-02 16:15:06,Close short,USDT,SOLUSDT,0.2,135.85,27.17,-0.1658,-0.182102,-0.016302
2025-12-02 16:13:24,Open short,USDT,SOLUSDT,0.2,135.021,27.0042,0,0,-0.00540084
2025-12-02 16:01:37,Close short,USDT,BTCUSDT,0.0001,89481.1,8.94811,-0.08096,-0.086328866,-0.005368866
2025-12-02 15:31:45,Open short,USDT,BTCUSDT,0.0001,88671.5,8.86715,0,0,-0.00177343
2025-12-02 15:26:18,Close long,USDT,ADAUSDT,75,0.402,30.15,2.1825,2.16441,-0.01809
2025-12-01 17:39:25,Close long,USDT,BTCUSDT,0.0001,85292.2,8.52922,0.06402,0.058902468,-0.005117532
2025-12-01 16:55:01,Open long,USDT,BTCUSDT,0.0001,84652,8.4652,0,0,-0.00169304
2025-12-01 16:46:51,Open long,USDT,ADAUSDT,75,0.3729,27.9675,0,0,-0.0055935
2025-12-01 16:34:36,Close long,USDT,ADAUSDT,74,0.3708,27.4392,-0.2516,-0.26806352,-0.01646352
2025-12-01 13:49:20,Open long,USDT,ADAUSDT,74,0.3742,27.6908,0,0,-0.01661448
2025-12-01 13:46:30,Close long,USDT,BTCUSDT,0.0001,85308.6,8.53086,-0.07899,-0.084108516,-0.005118516
2025-12-01 12:59:29,Open long,USDT,BTCUSDT,0.0001,86098.5,8.60985,0,0,-0.00172197
2025-12-01 04:08:02,Close long,USDT,ADAUSDT,74,0.3877,28.6898,-0.2072,-0.22441388,-0.01721388
2025-12-01 02:03:49,Open long,USDT,ADAUSDT,74,0.3905,28.897,0,0,-0.0057794
2025-12-01 01:54:17,Close long,USDT,ADAUSDT,75,0.3902,29.265,-0.21,-0.227559,-0.017559
2025-12-01 01:47:27,Close long,USDT,SOLUSDT,0.2,128.294,25.6588,-0.1672,-0.18259528,-0.01539528
2025-12-01 01:38:54,Open long,USDT,ADAUSDT,75,0.393,29.475,0,0,-0.017685
